CODE #,CODE TYPE,NARRATIVE,M/F
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,M
350(A)(2),PC,MFG/SEL 1000+ COUNTRFT MK,F
648A(A),PC,MAKE SLUG LIKE U.S.COIN,M
112(A),PC,MFG/ETC FLSE GOV DOC,M
350(B),PC,MFG/SELL COUNTRFT MK W/PR,M
18 1546(A),US,FRAUD:US ENTRY DOCS/ETC,F
470(B),PC,FORGE/ETC HANDWRITING/ETC,M
473(B),PC,FORGERY:CHECK ETC -$950,M
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,F
115.1(B),PC,PBLSH CMPGN AD UNAUTH SIG,M
115.2(A),PC,PUBLISH FALSE CAMPAIGN AD,M
115.25(A),PC,PROD DOC INACC EMERG INFO,M
350(C),PC,MFG/SELL CNTRFEIT MK GBI,F
470(C),PC,ALTER/ETC WILL/ETC,M
470B,PC,POSS DL/ID COMMIT FORGERY,M
471,PC,MAKE FLS ENTRIES IN RCRDS,M
474,PC,SEND FORGED TELE MSG DFRD,M
481.1(A),PC,CNTRFEIT FARE/MEDIA TRNSP,M
481,PC,FORGE RR/STEAMSHIP TICKET,M
482,PC,RESTORE CANCELLED RR TCKT,M
648,PC,MAKE UNAUTH PAPR MNY W/PR,F
470(A),PC,FORGERY,M
480(A),PC,MAKE/ETC CNTRFEIT PLATES,F
476,PC,MAKE FICT CHECK INT DFRD,F
72,PC,PRESENT FALSE CLAIM,F
129,PC,FALSE STATEMNT UNDER OATH,F
146C,PC,ILLEGAL USE PO/ETC NAME,M
156,PC,MISREP CHILD TO INHERIT,F
157,PC,SUB ONE CHILD FOR ANOTHER,F
337.7,PC,USE RACE LIC FRAUDULENTLY,F
351A,PC,SALE OF GOODS VIOLATION,M
395,PC,MARKET PRICE FRAUD,M
476A(B),PC,NONSUFFICIENT FUNDS:CHECK,M
531,PC,FRAUDULNT CONVEY:LAND/ETC,M
531A,PC,CONVEY PROP/ETC W/FRAUD,M
532E,PC,CONSTRUCTION BRKR KICKBCK,M
533,PC,SELL LAND TWICE,F
534,PC,SPOUSE SELL LAND UNAUTH,F
537B,PC,DEFRAUD LIVERY STABLE OWN,M
537C,PC,LIVERY STABLE VIOLATION,M
560,PC,CRIME INVOLVING BAILMENTS,F
560.1,PC,BAILEE ISSUE FRAUD RECEPT,M
560.2,PC,BAILEE DEL GOODS UNLAWFLY,M
560.3,PC,DEP GOODS W/O TITL W/BAIL,M
560.4,PC,BAILEE ISSUE DUP/ADD TITL,F
560.5,PC,WAREHSMN ISS FRAUD TITLE,M
587C,PC,EVADE RAILROAD FARE,M
212(A),LC,NONNEGOTABLE PAYMENT WAGE,M
216(A),LC,REFUSE TO PAY WAGES DUE,M
72,PC,PRESENT FALSE CLAIM,M
10750(A),VC,ALTER VEH ID NUMBERS,M
10751(A),VC,POS/ETC VEH W/ALTERED NBR,M
11054,WI,FALSE ELIGIBLE STATEMENT,F
11482,WI,FRAUD:OBTAIN AID,M
11483,WI,OBTAIN AID BY FRAUD,M
17410,WI,FRAUD:BUY WELFARE VOUCHER,F
11483,WI,OBTAIN AID BY FRAUD,F
476A(B),PC,NONSUFFICIENT FUNDS:CHECK,F
25110,CC,OFR/SELL UNQUALIF SECURTY,F
396.5,PC,UNLAWFUL USE FOOD STAMPS,M
532A(1),PC,FALSE FISCAL ACCOUNT,M
471.5,PC,ALTER MEDICAL RECORDS,M
25541,CC,FRAUD:USE DEVICE/SCHEME,F
14026(B),WI,FRAUD:MEDI-CAL RECIPIENT,M
119(C),BP,DISPLAY ANOTHER'S LICENSE,M
565,PC,USE/ETC DAIRY REG -$400,M
6201,GC,DESTROY PUBLIC RECORD,F
532A(2),PC,GAIN FROM FLS FISCAL ACCT,M
532A(2),PC,GAIN F/FLS NAM/FISCL ACCT,F
119(F),BP,UNLAWFUL POSS/DUPL LICENS,M
25540,CC,VIOL CORP SECURITIES LAW,F
2762(E),BP,FALSIFY DRUG RECORD,M
6200,GC,CRT OFCR ALT/ETC REC/ETC,F
14 4302,CA,CA REG:USE ST PARK:NO FEE,M
14403,BP,FRAUD:TRADE NAME ITEM,M
11482.5,WI,CLAIM AID:FALSE ID ENTLMT,F
25401,CC,SEL/BUY SECURITY BY FRAUD,F
2052,BP,PRACT MEDICINE W/O CERT,M
11483.5,WI,OBTAIN AID:FLSE ID ENTLMT,F
14026(A),WI,FRAUD:MEDI-CAL CARD,M
10980(C)(2),WI,FRAUD TO OBTAIN AID $400+,F
10980(C)(1),WI,FRAUD TO OBTAIN AID -$4OO,M
10980(B),WI,FRAUD:MULTIPLE AID CLAIMS,F
14107.2(A),WI,SOLICIT KICKBACK/BRIBE,F
10980(A),WI,FRAUD TO OBTAIN AID,M
10980(D),WI,FOOD STAMP PROGRAM VIOL,F
10980(G)(2),WI,FOOD STMP PROG VIOL $400+,F
10980(G)(1),WI,FOOD STAMP PROGRAM VIOL,M
484J,PC,PUBLIC ACCESS CARD NBR,M
2107,UI,WITHHOLD INFO OBTAIN BENE,F
2114,UI,REP/ETC FAKE EMPLOYER/ETC,F
2110,UI,FAIL PAY DEDUCT WITHHELD,F
2110.5,UI,FAIL WITHHOLD DEDUCTIONS,F
2118.5,UI,FAIL TO COLLECT/PAY TAX,F
833(A),IC,SECURITIES VIOLATION,F
10752(A),VC,POSS/ETC MFG ID/DEFRAUD,F
502(C)(2),PC,UNAUTH USE COMPUTER DATA,F
653S(A),PC,TRNSP/ETC RCRDNG:LIV PERF,M
653S(A),PC,TRNSP/ETC RCRDNG:LIV PERF,F
2101(A)(1),UI,FALSE STATMNT/ETC:BENEFIT,F
17511.8,BP,SOLIC PURCH:UNREG TEL SLR,M
502(C)(1)(B),PC,ALT/ETC COMPUTER SYS/ETC,F
653U(A),PC,LIVE RECORDING VIOLATION,F
653U(A),PC,LIVE RECORDING VIOLATION,M
653.55,PC,FALSE IMMIGRATION MATTER,M
532(A),PC,FALSE PRETENSES:OBT $/ETC,F
532(A),PC,FALSE PRETENSES:OBT $/ETC,M
7027.3,BP,FRAUD:USE CONTRCTOR LIC #,F
548(A),PC,INJUR/DSTROY/ETC INS PROP,F
653H(A)(1),PC,TRANSF SND RECORD:SEL/ETC,M
44059,HS,FALSE STATMNT/ETC:CAR REP,F
14107.2(B),WI,OFFER KICKBACK:AID/ETC,F
653W(B)(1),PC,AD:REC/ETC W/O ORIGN:W/PR,F
502(C)(4),PC,UNAUTH ALTER COMPUTR DATA,F
529.5(C),PC,POSS DECEPTIVE GOVT ID,M
84301,GC,CONTRIBUTE UND FALSE NAME,M
1090,GC,CONFLICT OF INTEREST,F
581,BP,POSS ALTER/ETC MED CERT,F
10752(B),VC,SELL/ETC GOVT/ETC ID#:DEF,F
550(A)(1),PC,FALSE/ETC INS CLAIM F/PAY,F
2121,UI,AID/ETC PREP/ETC FAKE DOC,F
87100,GC,OFCL INFL GOVT DEC F/GAIN,M
3352,FC,BANK EMP/ETC OMIT ENTRIES,F
6203,GC,MAKE/ETC FALSE CERT/ETC,M
2102(A),UI,FALS RPT/ETC:BENES O-O-ST,F
529.5(A),PC,MFG/ETC DECEPTIVE GOVT ID,M
502(C)(1)(A),PC,ACC COMP/ALT DATA:DEFRAUD,F
1764,BP,FALSE USE DENTAL ASST LIC,M
6787(B),BP,FILE FALSE CERT OF REG,M
6787(H),BP,FLSE USE:ENG/ETC TITL/ETC,M
7523(A),BP,FALSE USE PI/ETC LICENSE,M
549,PC,SLICT/ETC BUS:FAK INS CLA,F
550(A)(4),PC,FALSE/ETC CLAIM:THEFT VEH,F
550(A)(5),PC,PREP/ETC FALSE/ETC CLAIM,F
2054,BP,ADV AS DR W/O VALID CERT,M
1633,IC,ACT AS INS AGENT W/O LIC,M
1800.7,IC,FURN BAIL BOND:PAY/ETC,F
700,IC,TRANSACT INS BUS W/O CERT,F
1800.75,IC,ADV BAIL BOND BUS W/O LIC,F
1871.4(A)(2),IC,FALSE DOCS F/COMPENSATION,F
332(A),PC,OBT MON:FRAUD:CARDS/ETC,M
10801,VC,OWN/ETC CHOP SHOP,F
10802,VC,ALTER/ETC VEHICLE ID NBR,F
7027.1(A),BP,ADV AS CONTRACTOR W/O LIC,M
119(A)(1),BP,DISPLAY/ETC REVOK/ETC LIC,M
10803(A),VC,BUY VEHS:ID REM:SELL/ETC,F
10803(B),VC,POSS VEHS:ID REM:SELL/ETC,F
11880(A),IC,FRAUD:GET INS REDUCD RATE,F
17511.3(A),BP,FAIL TO REG AS TELE SELLR,F
17511.12(A),BP,TELE SELR FAIL MAINT BOND,F
94319.14(B),EC,PERSN FAKE SCHOOL REC/ETC,F
94320(F),EC,SCH/ETC PROMISE/ETC JOB,F
94320(G),EC,SCHOOL/ETC ADV FALSE INFO,F
550(A)(3),PC,FAKE VEH ACC:FAKE CLAIM,F
1871.4(A)(1),IC,MAKE FALSE WRK COMP CLAIM,F
11480,WI,MISUSE/ETC CHILD SUPPORT,M
44015,HS,SMOG STA ISS INVALID CERT,M
10980(E),WI,USE/ETC ALTERD FOOD STAMP,F
44209,HS,FALSE REPT/ETC:VEH POLUTN,F
550(A)(2),PC,FILE MULTPL CLAIM:INJ/ETC,F
27443(B),GC,PUB OFCL:TRNS/ETC:CNFLICT,F
2117.5,UI,FRAUD:UNFILED TAX RET/ETC,F
154(B),PC,DBTR HID/ETC PROP:DEF/ETC,F
538.5,PC,FRAUD USE TV/ETC TRNS:INF,F
560.6(1),PC,ISS/ETC BAD RCPT/ETC:STRG,M
560.6(2),PC,ISS/ETC RECT/ETC NO GOODS,M
560.6(3),PC,FRAUD RCT/ETC GOODS O-O-S,M
653W(B)(2),PC,FAIL DISCLS ORIGN:RECRDNG,M
653W(B)(3),PC,FAIL DISCL ORIGN:RECRD:PR,F
2118,UI,FAIL TO WITHHOLD/PAY TAX,M
502(C)(3),PC,UNAUTH USE/ETC COMP SVS,M
502(C)(5),PC,DISRUPT/DENY/ETC COMP SVS,F
502(C)(6),PC,PROVID/ASIST ACC:COMP/ETC,F
580,BP,SELL/ETC MED DEGREE/ETC,F
11010(A),BP,UNFILD NOTE:SELL/ETC:RLTY,F
31110,CC,UNLAWF FRANCHISE SALE/ETC,F
31201,CC,FALS/ETC STATEMNT:FRNCHSE,F
31410,CC,OFFER SALE OF FRANCHISE,F
27443(A),GC,PUB OFCR:PUR PROP:CONFLCT,F
653H(A)(2),PC,TRNSP ILL SOUND REC:GAIN,M
11265(A),WI,FALSE INFO:ANUL AID ALLOT,M
14023(A),WI,FAIL DISCL OTH HELTH CARE,M
7152(A),RT,VRFY/ETC FALS/ETC TAX RET,M
2116(A),UI,FALSE CERT MED COND:BENES,F
1524.1(H),PC,FLS SEX ASLT:AIDS TST INF,M
365.7(A),PC,FLS REP OWN GUIDE/ETC DOG,M
2117,UI,FAIL TO FILE RETURN/ETC,M
653H(D),PC,SEL/ETC:TRANSF SND REC:PR,F
653H(D),PC,SEL/ETC ILL TRNSF SND REC,M
11760(A),IC,GET WK COMP INS:LOW RATE,F
14025(A),WI,BUY/ETC MEDI-CAL CARD/ETC,F
2255(B),CC,ALT/ETC CORP BK/ETC:DEFRD,F
1871.4(A)(3),IC,ASIST/ETC:UNLAW INS CLAIM,F
31411,CC,FRAUD OF FRANCHISE,F
502.7(D),PC,ISSUER GAIN:TELCOM FRAUD,F
502.7(D),PC,TELCOM FRAUD:ISSUER GAIN,M
11370.9(A),HS,REC/ETC/CNCL/ETC $+:C/SUB,F
550(A)(8),PC,MULT CLAIM:SAME HELTH BEN,F
550(A)(8),PC,SAME HELTH BEN:MULT CLAIM,M
550(A)(7),PC,SUB CLAIM:UNUSD HELTH BEN,F
550(B)(2),PC,CONSPIRE:FAKE STMNT:CLAIM,F
550(B)(3),PC,HIDE FACTS:INS ENTITLMNTS,F
14014(A),WI,FALS ELIGIBLTY:HEALTH AID,M
14014(A),WI,FALS ELIGIBLTY:HEALTH AID,F
4322,BP,FALSE REP REG PHARMACY,M
4329,BP,MAN/ETC PHARM/ETC NO REG,M
1701,BP,DENTIST LIC/CERT/ETC VIOL,M
103780,HS,ALT/ETC BRTH/ETC CERT/ETC,M
103800,HS,FILE/ETC FALSE BIRTH REC,F
8231.5(F)(3),GC,FL/REF RTN/DLVR ELEC JNLS,M
8231.13,GC,DEST NOTARY SEAL W/O AUTH,M
110630,HS,REC/ETC ADULTERATED FOOD,M
10980(C)(2),WI,FRAUD:OBTAIN AID $400+,M
10980(G)(2),WI,FOOD STAMP PROG VIO $400+,M
4461(B),VC,LOAN DISABL PLACRD:UNAUTH,M
4461(C),VC,DISPLY UNAUTH DISABL PLAC,M
4463(B)(2),VC,PASS/ETC FAKE DISABL PLAC,M
4463(B)(3),VC,FRAUD:POS/ETC DISABL PLAC,M
4463(C),VC,SHO/ETC DISABL PLAC:FRAUD,M
11100(A),VC,RUN/ETC DRIVE SCH W/O LIC,M
22852.5(B),VC,OBT VEH W/LEIN:FRAUD/ETC,M
23247(B),VC,ASK PRSN USE INTERLOC DEV,M
23247(C),VC,START VEH W/INTERLOCK DEV,M
23247(D),VC,TAMPR/ETC W/INTERLOCK DEV,M
13004(A),VC,DISP/ETC FAKE/ETC ID CARD,M
13004(B),VC,LEND/ALLOW USE OF ID CARD,M
13004(C),VC,DISPLA/ETC UNAUTH ID CARD,M
13004(D),VC,PERMIT UNLAWF USE ID CARD,M
13004(E),VC,UNLAWFUL USE/ETC:ID CARD,M
13004(F),VC,DUP/POSS/ETC ID/FAKE ID,M
13004(G),VC,ALTER ID CARD W/O AUTHRTY,M
502.8(A),PC,ADV ILLEGAL TELECOM EQUIP,M
502.8(B),PC,NO PAY/ETC:IL TELCM EQUIP,M
502.8(B),PC,NO PAY/ETC ILL TELE EQ:PR,F
502.8(D),PC,SELL/ETC ILL TELCOM EQUIP,M
502.8(D),PC,SEL/ETC ILLEGAL TELCOM EQ,F
502.8(E),PC,POS 10+ IL TELCOM:SEL/ETC,F
18 1542,US,FALSE STATEMENT:PASSPORT,F
14610.1(A),VC,MFG/SEL ID SIMILAR TO CDL,M
18 1029(A)(2),US,FRAUD:ACC DEV:GOODS $1K+,F
2945.4(A),CI,FORECLOSURE FRAUD,F
4461(A),VC,IMPROP USE/ETC REG:UNAUTH,M
155.5(B),PC,SELL/ETC PROP:AVOID RESTI,F
11880(A),IC,FRAUD OBT INS:REDUCE RATE,M
532D(A),PC,FRAUD:SOLICIT CHARITY/ETC,M
11713(I),VC,DLR DELIVER ILLEQUIP VEH,M
3126,BP,FALSE DATA:OPTOMETRY CERT,M
11713(J),VC,DLR MISUSE/ETC:SPEC PLATE,M
13004.1(A),VC,MFG/ETC PROHIBITED ID,M
539,PC,FALSE CERT:COMMUNITY SVS,M
18 1030(A)(5)(A),US,DAMAGE PROTECTED COMPUTER,F
18 287,US,FALSE/ETC CLAIM:US/GOVT,F
3070(B),CI,OBT POSS VEH/ETC:FRAUD/ET,M
14610(A)(1),VC,UNLAWFUL USE/ETC:DRIV LIC,M
14610(A)(2),VC,UNLAWFUL:LEND DRIV LIC,M
1701(F),BP,PRACT DENTISTRY W/O LIC,M
14610(A)(7),VC,UNLAWF DUPLICATE/ETC LIC,M
502.6(A),PC,FRAUD:POSS/USE SCAN DVICE,M
502.6(B),PC,FRAUD:POSS/USE KEENCODER,M
529.7,PC,OBT/ASSIST OBT DMV DOC,M
2052(A),BP,PRACTICE MED/ETC W/O CERT,M
2052(A),BP,PRACT MEDICINE W/O CERT,F
44360(B),EC,ASSUMED DEGREE N/CONFRD,M
653Z(A),PC,UNAUTH RECRD DEVICE:MOVIE,M
18 1344(1),US,BANK FRAUD:FINANCIAL INST,F
8227.1(A),GC,FRAUD:REP AS A NOTARY PUB,M
8227.1(B),GC,FRAUDULNT ADV AS A NOTARY,M
8227.1(C),GC,PURPORT AS NOTARY PUBLIC,M
8227.3,GC,NON-DULY NOTARY:MORTGAGE,F
18 500,US,FRAUD:POSTAL MONEY ORDER,F
18 152,US,BANKRUPTCY FRAUD,F
11713(R),VC,DLR DISPLAY VEH SALE VIOL,M
30472,RT,MAKE FRAUD REPORT TO DEFR,M
8726,HS,VIOL ENDOWMENT CARE PROVI,M
2116(B),UI,FRAUD STATMNT:BENES CLAIM,F
25230(A),CC,INVEST ADVISER W/OUT CERT,M
20085(A)(1),GC,KNLY FAIL DISCLOSE FACT,M
22010(A)(1),EC,KNLY FAIL DISCLOSE FACT,M
27491,GC,FAIL TO NOTIFY CORONER,M
31455.5(A)(1),GC,KNLY FAIL DISCLOSE FACT,M
483.5(B),PC,POSSESS DOC-MAKING DEVICE,M
87461(A),GC,ELE ST/GOV OFC:RECV $500+,M
14591(B)(1)(F)(2),PR,UNLAW RECYC:EXCEED $400,F
14591(B)(1)(F)(2),PR,UNLAW RECYC:EXCEED $400,M
14591(B)(1)(F)(2),PR,UNLAW RECYC:EQUAL/-$400,M
89001,GC,NO MASS MAIL:PUB EXP,M
532F(A)(1),PC,MORTGAGE FRAUD:DLIB MSREP,F
532F(A)(1),PC,MORTGAGE FRAUD:DLIB MSREP,M
32382(B),EC,BUY/ETC DIPLOMA/DEGREE,M
32382(F),EC,CONSPIRE TO OBTAIN DEGREE,M
1695.6(B)(1),CI,ACCEPT INSTRMNT CONVEYANC,F
550(B)(3),PC,HIDE FACTS:INS ENTITLEMNT,M
2945.4(A),CI,FORECLOSURE FRAUD,M
892(A),CI,RENT SKIMMING:MULTI ACTS,F
892(A),CI,RENT SKIMMING:MULTI ACTS,M
8214.2(A),GC,NOTARY ACT:W/INT DEFRAUD,F
66499.30(B),GC,UNLAW SELL/LEASE PROPERTY,F
14107(B)(1),WI,W/INTENT DEFRAUD MEDI-CAL,F
1871.4(A)(1),IC,MAKE FALSE WRK COMP CLAIM,M
502(C)(1)(A),PC,ACC COMP/ALT DATA:DEFRAUD,M
502(C)(1)(B),PC,ALT/ETC COMPUTER SYS/ETC,M
14107(B)(1),WI,W/INTENT DEFRAUD MEDI-CAL,M
18 1544,US,MISUSE PASSPORT,F
9149.33(A),GC,LEG USE AUTH TO INTERFERE,M
9149.34,GC,RETAL AGNST LEGIS EMP,M
18302(A),EL,MAIL VOTE LIT W/PREC INFO,M
72.5(A),PC,SK PUB FND REIMB ATND FNC,M
72.5(A),PC,SK PUB FND REIMB ATND FNC,F
72.5(B),PC,SK PUB FND REIMB ADMT FNC,M
72.5(B),PC,SK PUB FND REIMB ADMT FNC,F
131,PC,FRDLNT CONDCT DRNG INVEST,M
155.5(A),PC,SELL/ETC PROP AVOID RESTN,M
502(C)(10),PC,DSRPT/DENY GOV CMPTR SRVS,F
502(C)(10),PC,DSRPT/DENY GOV CMPTR SRVS,M
502(C)(11),PC,ALTER CMPTR SRVS PUB SFTY,F
502(C)(11),PC,ALTER CMPTR SRVS PUB SFTY,M
502(C)(12),PC,DSRPT PUB SFTY CMPTR SRVS,F
502(C)(12),PC,DSRPT PUB SFTY CMPTR SRVS,M
502(C)(13),PC,PRVD ACC PUB SFTY CMPTR,F
502(C)(13),PC,PRVD ACC PUB SFTY CMPTR,M
502(C)(14),PC,CONTAM PUB SFTY CMPTR INJ,F
502(C)(14),PC,CONTAM PUB SFTY CMPTR,M
502(C)(2),PC,UNAUTH COPY/USE CMPTR DAT,M
502(C)(3),PC,UNAUTH USE COMPUTER SRVS,F
502(C)(4),PC,UNAUTH ALTER CMPTR DATA,M
502(C)(5),PC,DISRUPT/DENY CMPTR SRVS,M
502(C)(6),PC,PRVD/ASSIST ACCESS CMPTR,M
502(C)(8),PC,INTRO CONTAM TO COMPUTER,F
502(C)(8),PC,INTRO CONTAM TO COMPUTER,M
502(C)(9),PC,USE INTRNT DMN DMG CMPTR,M
502.7(B)(2),PC,SELL/ETC INSTRMT AVD TOLL,M
529.5(B),PC,MFG DECEPTIVE GOV ID W/PR,F
532F(A)(2),PC,MORTG FRD DELIB USE MSREP,M
532F(A)(2),PC,MORTG FRD DELIB USE MSREP,F
532F(A)(3),PC,MORTG FRD RCV CLOSING FND,M
532F(A)(3),PC,MORTG FRD RCV CLOSING FND,F
532F(A)(4),PC,MORTG FRD FILE W/RECORDER,M
532F(A)(4),PC,MORTG FRD FILE W/RECORDER,F
538.5,PC,FRDLNT USE TV TRANS INFO,M
549,PC,SLCIT BUS W/FLS INS CLAIM,M
550(A)(7),PC,SUB CLAIM UNUSED HLTH BEN,F
550(B)(1),PC,FLS/ETC INS INFO FOR PAY,M
550(B)(2),PC,PREPARE FLS STMT INS CLM,M
550(B)(4),PC,FALSE RESID STMT VEH INS,M
550(B)(4),PC,FALSE RESID STMT VEH INS,F
551(A),PC,DLR OFFER FEE FOR REFERAL,M
551(A),PC,DLR OFFER FEE FOR REFERAL,F
551(B),PC,DLR ILL WV DEDCT AUTO RPR,M
571(A),PC,UNLAWFUL SUBLEASE OF VEH,M
571(A),PC,UNLAWFUL SUBLEASE OF VEH,F
22505.5(A),BP,USE SFTWR CIRCMVNT TICKET,M
476A(A),PC,INSUFF FUND CHECK $950+,F
483,PC,SELL PSGR TCKT TO UNAUTH,M
484B,PC,DIVERSION OF FUNDS -$2350,M
484B,PC,DIVERSION OF FUNDS $2350+,F
502.7(A)(1),PC,TELE FRAUD CHRG W/O AUTH,F
529A,PC,POSS FLS BRTH CERT TO DCV,M
502.7(A)(1),PC,TELE FRAUD CHRG W/O AUTH,M
532A(A),PC,FALSE FISCAL ACCOUNT,F
502.7(B)(1),PC,POSS INSTRMT AVOID TOLL,F
502.7(B)(1),PC,POSS INSTRMT AVOID TOLL,M
502.7(C),PC,PUBLSH RVKD CARD AVD FEE,M
532A(3),PC,AFFIRM FALSE FINAN STMT,F
532A(3),PC,AFFIRM FALSE FINAN STMT,M
502.7(A)(4),PC,TELE FRAUD TAMPER W/ SRVC,M
502.7(A)(4),PC,TELE FRAUD TAMPER W/ SRVC,F
502.7(A)(5),PC,TELE FRAUD DECEPTION/ETC,F
502.7(A)(5),PC,TELE FRAUD DECEPTION/ETC,M
502(C)(7),PC,UNAUTH ACCES CMPTR $5000+,F
502(C)(7),PC,CMPTR ACC:VCTM LOS -$5000,M
502.7(A)(3),PC,TELE FRAUD BY CODE/SCHEME,F
50207(A)(3),PC,TELE FRAUD BY CODE/SCHEME,M
332(A),PC,OBT MONEY FRD CARDS $950+,F
502.7(A)(2),PC,TELE FRAUD BAD/SUSP CARD,F
154(A),PC,DEBTOR HIDE PROP INT/DFRD,M
155(A),PC,DEFT HIDE PROP INT/DFRD,M
155(B),PC,DEFT HIDE PROP INT/DFRD,F
529A,PC,POSS FLS BRTH CERT TO DCV,F
550(B)(1),PC,FLS/ETC INS INFO FOR PAY,F
502.7(B)(2),PC,SELL/ETC INSTRMT AVD TOLL,F
551(B),PC,DLR WV DDCT AUTO RPR 950+,F
550(A)(6),PC,PRSNT FLS HLTH CLM $950+,F
502.7(A)(2),PC,TELE FRAUD BAD/SUSP CARD,M
476A(A),PC,INSUFF FUND CHECK -$950,M
502.8(F),PC,MFG ILL TELECM 10+ SELL,F
538C(A),PC,DIST UNAUTH ADVERT NEWSP,M
182(A)(4),PC,CONSP: DEFRAUD OF PROP,M
537(A),PC,DEFRAUD INNKEEPER -$950,M
537(A),PC,DEFRAUD INNKEEPER $950+,F
483.5(F),PC,MFG/ETC FALSE ID DOCUMENT,F
483.5(F),PC,MFG/ETC FALSE ID DOCUMENT,M
653H(A)(2),PC,TRNSP SOUND RCRDNG TO SEL,F
653W(A)(1),PC,FAIL DISCL ORIGN REC/ETC,F
653W(A)(1),PC,FAIL DISCL ORIGN REC/ETC,M
14591(B)(1)(A),PR,SUBMIT FLS CLM FOR PAYMNT,M
14591(B)(1)(G),PR,SUBMIT FLS CLM HANDL FEE,F
85320(A),GC,FRGN CONTRIB MEASURE/CAND,M
85320(B),GC,SOLCT/ACCEPT FRGN CONTRIB,M
550(A)(6),PC,PRSNT FLS HLTH CLM -$950,M
84226(B),GC,ELECT OFCR FL FILE SEC ST,M
11713.1,VC,SELL LOWSPD VEH W/O DISCL,M
11713(B)(1)(A),VC,FALSE ADVERT BY DEALER,M
11713(C),VC,FL WITHDRAW ADVERT BY DLR,M
11713(D),VC,FLS ADVERT USED AS NEW,M
11713(E),VC,BUSINESS W/O REQ BOND,M
11713(F),VC,BUSINESS W/O MAINT PLACE,M
11713(G),VC,FL INCL FEE LIC/TRNSF TTL,M
11713(H),VC,EMPL/FL RPRT UNLIC SLPRSN,M
11713(K),VC,FALSE ADVERT NO DOWN NEC,M
11713(L),VC,FAIL PAY FULL SL TAX IRS,M
11713(M),VC,PRMT UNAUTH USE DLR LIC,M
11713(N),VC,VIOL ARTICLE 10 VC 28050,M
11713(O),VC,FL DISCL MANUF WARRANTY,M
11713(P),VC,ACCEPT DEP W/O VEH AVAIL,M
11713(Q),VC,CONSIGN NEW VEH OTHER DLR,M
11713(S),VC,AD VEH PHOTO DIFF YR/ETC,M
11713(T),VC,DEALER FL DISCL PREV USE,M
11713(U),VC,FLS ADV PRIOR USE VEH,M
11713.1(B),VC,DLR ADVERT TOTAL W/O COST,M
11713.1(C)(1),VC,DLR EXCLUDE FEES ADVERT,M
11713.1(D),VC,DLR REP FEES AS GOVT FEES,M
11713.1(E),VC,DLR FL SELL VEH AS ADVERT,M
11713.1(F)(1),VC,ADVERT SALE W/O FRANCHISE,M
11713.1(G),VC,SELL PARK TRLR W/O LIC MV,M
11713.1(H),VC,ADVERT GIFT FOR PURCH VEH,M
11713.1(I)(1),VC,ADV VEH/ETC INT NT SUPPLY,M
11713.1(J),VC,DLR USE FLS REBATE OFFER,M
11713.1(K),VC,REQ HIGHER PRICE FOR CRDT,M
11713.1(L),VC,DLR ADVERT GUARNTD TRD IN,M
11713.1(M),VC,MISREP AUTH FINAL TERMS,M
11713.1(N)(1),VC,USE DEALER COST IN ADVERT,M
11713.1(O),VC,BAIT AND SWITCH ADVERT,M
11713.1(P),VC,FLS STMNT FULL FACT EQUIP,M
11713.1(Q),VC,AFFIX SUPP PRICE STICKER,M
11713.1(R),VC,ADVERT UNDERSELLING CLM,M
11713.1(S)(1),VC,ADVERT FLS MFG INCENTIVE,M
11713.1(T),VC,SALE USED VEH W/O FTC GD,M
11713.1(U),VC,FAIL DISCL SALE/ETC VEH,M
11713.1(V),VC,CONTRACT FL DISCL NEW/USD,M
11713.1(W),VC,SIMULATED CHECK ADV VEH,M
11713.1(X),VC,FL DISCL NOT SUBJECT FEES,M
11713.1(Y),VC,SELL NEW VEH W/O CONTRACT,M
11713.11(A),VC,DLR FAIL DISCL AUCT DTLS,M
11713.11(B),VC,DLR FAIL DSCL SEIZED VEH,M
11713.11(C),VC,AUCT FAIL DSCL SEIZED VEH,M
11713.11(D),VC,FAIL INCL COSTS AS SPFD,M
11713.11(E),VC,DLR FAIL TO DSCL BYR FEE,M
11713.11(F),VC,AUCT DLR DISOBEY LAWS,M
11713.12(A),VC,MFG FL AFFX LLB LABEL VEH,M
11713.12(B),VC,REMOVE/TMPR LLB DECAL,M
11713.13(A),VC,PRVNT DLR AQUR OTHER LINE,M
11713.13(B),VC,REQ DLR MNTN EXCLUSIV FAC,M
11713.13(C),VC,REQ DLR MTRL ALTERATN/ETC,M
11713.13(D)(1),VC,FL PAY DLR 90 DAYS TRMNTN,M
11713.13(E)(1)(A),VC,FL PAY DLR 90 DAY REC VEH,M
11713.13(E)(2),VC,FL PAY DLR 90 DAYS SUPPLY,M
11713.13(F)(1),VC,FL INDEMFY DAMAGES CLAIM,M
11713.13(G)(1),VC,MNTN PERFORMANCE STANDARD,M
11713.13(H),VC,RESTRICT DIGITAL SERVICE,M
11713.13(I),VC,RESTRICT TECH SRVC BULLTN,M
11713.15(A)(1),VC,TEMP DLR FL SBMT DMV AUTH,M
11713.15(B)(1),VC,TEMP DLR FL NM/ETC IN ADV,M
